,UDI,Product ID,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Normalized_air_temp,Normalized_process_temp,Power [W],Machine failure Labelled
26,27,L47206,L,1512,39.0,77,0,0,0,0,0,0,299.0951870298287,299.6592651207544,6175.109304,No Failure
27,28,H29441,H,1811,24.6,82,0,0,0,0,0,0,299.0951870298287,299.59186760527734,4665.323981800001,No Failure
28,29,L47208,L,1439,44.2,84,0,0,0,0,0,0,299.0951870298287,299.59186760527734,6660.568734733335,No Failure
29,30,L47209,L,1693,30.1,86,0,0,0,0,0,0,298.99519996230174,299.59186760527734,5336.440909566667,No Failure
30,31,M14890,M,1339,48.2,89,0,0,0,0,0,0,299.0951870298287,299.6592651207544,6758.586342733333,HDF
31,32,L47211,L,1798,25.5,91,0,0,0,0,0,0,298.99519996230174,299.59186760527734,4801.291996999999,No Failure
32,33,L47212,L,1419,48.3,93,0,0,0,0,0,0,298.99519996230174,299.59186760527734,7177.245098099998,No Failure
33,34,L47213,L,1665,32.5,95,0,0,0,0,0,0,298.89521289477483,299.5244700898004,5666.642962499999,No Failure
34,35,M14894,M,1559,34.7,98,0,0,0,0,0,0,298.7952258272479,299.3896750588464,5665.051223566667,No Failure
35,36,M14895,M,1452,48.6,101,0,0,0,0,0,0,298.7952258272479,299.4570725743233,7389.7736616,No Failure
36,37,M14896,M,1581,36.7,104,0,0,0,0,0,0,298.89521289477483,299.4570725743233,6076.1178031,No Failure
37,38,L47217,L,1439,39.2,106,0,0,0,0,0,0,298.7952258272479,299.3896750588464,5907.110733066668,No Failure
38,39,H29452,H,1379,50.7,111,0,0,0,0,0,0,298.89521289477483,299.4570725743233,7321.5069109,HDF
39,40,L47219,L,1350,52.5,113,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7422.006374999999,HDF
40,41,L47220,L,1362,45.4,115,0,0,0,0,0,0,298.7952258272479,299.3896750588464,6475.3196444,HDF
41,42,L47221,L,1368,50.8,117,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7277.430403199998,HDF
42,43,M14902,M,1368,49.1,120,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7033.894346399999,HDF
43,44,H29457,H,1372,48.5,125,0,0,0,0,0,0,298.7952258272479,299.4570725743233,6968.256059333334,HDF
44,45,M14904,M,1472,47.5,128,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7321.999093333333,No Failure
45,46,L47225,L,1489,49.1,130,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7656.044358033333,No Failure
46,47,M14906,M,1843,25.8,133,0,0,0,0,0,0,298.695238759721,299.3222775433693,4979.3573182,No Failure
47,48,L47227,L,1418,46.3,135,0,0,0,0,0,0,298.7952258272479,299.3896750588464,6875.202163533333,No Failure
48,49,H29462,H,1425,53.9,140,0,0,0,0,0,0,298.7952258272479,299.4570725743233,8043.255797499998,No Failure
49,50,M14909,M,1412,44.1,143,0,0,0,0,0,0,298.89521289477483,299.4570725743233,6520.8098676,No Failure
51,52,L47231,L,1383,54.9,147,0,0,0,0,0,0,298.89521289477483,299.3896750588464,7951.0187151,No Failure
52,53,H29466,H,1497,43.8,152,0,0,0,0,0,0,298.7952258272479,299.3222775433693,6866.321935799999,No Failure
53,54,L47233,L,1565,35.1,154,0,0,0,0,0,0,298.695238759721,299.3222775433693,5752.4083695,No Failure
54,55,L47234,L,1691,30.1,156,0,0,0,0,0,0,298.695238759721,299.3222775433693,5330.136785633333,No Failure
55,56,L47235,L,1512,40.7,158,0,0,0,0,0,0,298.7952258272479,299.3896750588464,6444.2807352,No Failure
56,57,L47236,L,1477,42.4,160,0,0,0,0,0,0,298.7952258272479,299.3896750588464,6558.048181066666,No Failure
57,58,L47237,L,1513,40.3,162,0,0,0,0,0,0,298.7952258272479,299.3896750588464,6385.166483366666,No Failure
58,59,M14918,M,1661,29.5,165,0,0,0,0,0,0,298.7952258272479,299.3222775433693,5131.211306833334,No Failure
59,60,L47239,L,1378,54.4,167,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7850.121316266667,HDF
60,61,L47240,L,1393,52.6,169,0,0,0,0,0,0,298.7952258272479,299.3896750588464,7672.998472066666,No Failure
61,62,M14921,M,1592,38.2,172,0,0,0,0,0,0,298.7952258272479,299.3222775433693,6368.463696533335,No Failure
62,63,L47242,L,1829,22.9,174,0,0,0,0,0,0,298.7952258272479,299.3222775433693,4386.088990633332,No Failure
63,64,M14923,M,1812,25.9,177,0,0,0,0,0,0,298.89521289477483,299.3222775433693,4914.577732399999,No Failure
64,65,L47244,L,1523,38.6,179,0,0,0,0,0,0,298.99519996230174,299.3896750588464,6156.238820066666,No Failure
65,66,L47245,L,1394,45.1,181,0,0,0,0,0,0,298.99519996230174,299.3896750588464,6583.662611533333,No Failure
66,67,M14926,M,1679,28.7,184,0,0,0,0,0,0,298.89521289477483,299.2548800278923,5046.157993566666,No Failure
67,68,H29481,H,1466,44.1,189,0,0,0,0,0,0,298.7952258272479,299.2548800278923,6770.1892818,No Failure
68,69,L47248,L,1527,32.4,191,0,0,0,0,0,0,298.7952258272479,299.2548800278923,5180.9845644,No Failure
69,70,L47249,L,1410,65.7,193,1,0,0,1,1,0,298.89521289477483,299.3222775433693,9700.915761,"PWF, OSF"
70,71,M14930,M,1924,22.6,196,0,0,0,0,0,0,298.89521289477483,299.3222775433693,4553.462433866666,No Failure
71,72,L47251,L,1452,45.5,198,0,0,0,0,0,0,298.89521289477483,299.3896750588464,6918.409498,No Failure
72,73,L47252,L,1369,44.4,200,0,0,0,0,0,0,298.89521289477483,299.3896750588464,6365.2383308,"TWF, HDF"
73,74,L47253,L,1592,35.0,202,0,0,0,0,0,0,298.99519996230174,299.3896750588464,5834.979826666668,TWF
74,75,L47254,L,1601,32.3,204,0,0,0,0,0,0,298.89521289477483,299.3222775433693,5415.2948185666655,TWF
75,76,L47255,L,1379,46.7,206,0,0,0,0,0,0,298.7952258272479,299.2548800278923,6743.873229566666,"TWF, HDF"
76,77,L47256,L,1461,47.9,208,0,0,0,0,0,0,298.7952258272479,299.2548800278923,7328.481240699999,TWF
77,78,L47257,L,1455,41.3,210,1,1,0,0,0,0,298.7952258272479,299.2548800278923,6292.761849499999,TWF
78,79,L47258,L,1398,51.5,2,0,0,0,0,0,0,298.7952258272479,299.2548800278923,7539.501841000001,No Failure
79,80,L47259,L,1402,37.9,4,0,0,0,0,0,0,298.7952258272479,299.2548800278923,5564.3632640666665,No Failure
80,81,H29494,H,1445,49.9,9,0,0,0,0,0,0,298.7952258272479,299.1874825124153,7550.863924833332,No Failure
81,82,L47261,L,1450,47.5,11,0,0,0,0,0,0,298.89521289477483,299.2548800278923,7212.567041666666,No Failure
82,83,L47262,L,1453,40.8,13,0,0,0,0,0,0,298.89521289477483,299.2548800278923,6208.0331672,No Failure
83,84,L47263,L,1469,40.1,15,0,0,0,0,0,0,298.99519996230174,299.3222775433693,6168.710932366667,No Failure
84,85,L47264,L,1422,47.6,17,0,0,0,0,0,0,298.89521289477483,299.2548800278923,7088.181021599999,No Failure
85,86,M14945,M,1804,26.8,20,0,0,0,0,0,0,298.99519996230174,299.3222775433693,5062.902668266666,No Failure
86,87,H29500,H,1436,43.9,25,0,0,0,0,0,0,298.99519996230174,299.3222775433693,6601.569674533333,No Failure
87,88,L47267,L,1544,31.8,27,0,0,0,0,0,0,298.99519996230174,299.3222775433693,5141.6518576,No Failure
88,89,M14948,M,1419,45.2,30,0,0,0,0,0,0,298.99519996230174,299.3222775433693,6716.593756399999,No Failure
89,90,M14949,M,1487,39.5,33,0,0,0,0,0,0,298.89521289477483,299.2548800278923,6150.866701166667,No Failure
90,91,L47270,L,1753,25.8,35,0,0,0,0,0,0,298.89521289477483,299.2548800278923,4736.1982522,No Failure
91,92,L47271,L,1830,24.9,37,0,0,0,0,0,0,298.89521289477483,299.2548800278923,4771.761051,No Failure
92,93,M14952,M,1727,27.1,40,0,0,0,0,0,0,298.89521289477483,299.2548800278923,4901.058423433334,No Failure
93,94,L47273,L,1450,43.0,42,0,0,0,0,0,0,299.0951870298287,299.3222775433693,6529.271216666666,No Failure
94,95,L47274,L,1622,31.9,44,0,0,0,0,0,0,298.99519996230174,299.2548800278923,5418.384048733333,No Failure
95,96,M14955,M,1351,52.2,47,0,0,0,0,0,0,298.99519996230174,299.3222775433693,7385.0612766,HDF
96,97,M14956,M,1575,35.3,50,0,0,0,0,0,0,298.99519996230174,299.3222775433693,5822.151667499999,No Failure
97,98,M14957,M,1750,29.9,53,0,0,0,0,0,0,298.89521289477483,299.2548800278923,5479.456558333332,No Failure
98,99,L47278,L,1529,32.7,55,0,0,0,0,0,0,298.89521289477483,299.1874825124153,5235.8053099,No Failure
99,100,L47279,L,1523,44.4,57,0,0,0,0,0,0,298.7952258272479,299.1874825124153,7081.269523599999,No Failure
100,101,L47280,L,1852,25.0,59,0,0,0,0,0,0,298.7952258272479,299.2548800278923,4848.520566666666,No Failure
101,102,L47281,L,1991,20.7,61,0,0,0,0,0,0,298.7952258272479,299.1874825124153,4315.8849261,No Failure
102,103,L47282,L,1555,40.6,63,0,0,0,0,0,0,298.7952258272479,299.1874825124153,6611.266715666667,No Failure
103,104,M14963,M,1441,40.5,66,0,0,0,0,0,0,298.7952258272479,299.1874825124153,6111.4921065,No Failure
104,105,L47284,L,1450,43.4,68,0,0,0,0,0,0,298.7952258272479,299.12008499693826,6590.008623333333,No Failure
105,106,L47285,L,1591,31.1,70,0,0,0,0,0,0,298.7952258272479,299.12008499693826,5181.539578633334,No Failure
106,107,L47286,L,1445,48.5,72,0,0,0,0,0,0,298.7952258272479,299.12008499693826,7339.016039166665,No Failure
107,108,M14967,M,1497,46.8,75,0,0,0,0,0,0,298.7952258272479,299.1874825124153,7336.617958799999,No Failure
108,109,H29522,H,1621,32.7,80,0,0,0,0,0,0,298.89521289477483,299.1874825124153,5550.8439551,No Failure
109,110,L47289,L,1572,34.1,82,0,0,0,0,0,0,298.89521289477483,299.12008499693826,5613.518675599999,No Failure
110,111,L47290,L,1872,22.5,84,0,0,0,0,0,0,298.7952258272479,299.05268748146125,4410.79236,No Failure
111,112,H29525,H,1499,43.5,89,0,0,0,0,0,0,298.695238759721,299.05268748146125,6828.402944500001,No Failure
112,113,M14972,M,1498,39.5,92,0,0,0,0,0,0,298.7952258272479,299.12008499693826,6196.367396333333,No Failure
113,114,M14973,M,1486,41.9,95,0,0,0,0,0,0,298.7952258272479,299.05268748146125,6520.202493533332,No Failure
114,115,L47294,L,1680,29.4,97,0,0,0,0,0,0,298.7952258272479,299.05268748146125,5172.313775999999,No Failure
115,116,L47295,L,1431,45.7,99,0,0,0,0,0,0,298.7952258272479,299.05268748146125,6848.320625099999,No Failure
116,117,L47296,L,1564,34.1,101,0,0,0,0,0,0,298.89521289477483,299.12008499693826,5584.951150533333,No Failure
117,118,L47297,L,1599,33.0,103,0,0,0,0,0,0,298.7952258272479,299.05268748146125,5525.742651,No Failure
118,119,M14978,M,1707,28.1,106,0,0,0,0,0,0,298.7952258272479,299.05268748146125,5023.0568351,No Failure
119,120,L47299,L,1467,40.7,108,0,0,0,0,0,0,298.695238759721,298.98528996598424,6252.4866657,No Failure
120,121,L47300,L,1433,44.7,110,0,0,0,0,0,0,298.89521289477483,299.12008499693826,6707.828720300001,No Failure
121,122,L47301,L,1558,41.2,112,0,0,0,0,0,0,298.89521289477483,299.12008499693826,6721.9135154666665,No Failure
122,123,L47302,L,1310,50.7,114,0,0,0,0,0,0,298.99519996230174,299.1874825124153,6955.166101,HDF
123,124,L47303,L,1546,43.4,116,0,0,0,0,0,0,298.89521289477483,299.12008499693826,7026.312642533333,No Failure
124,125,L47304,L,1727,29.4,118,0,0,0,0,0,0,298.89521289477483,299.12008499693826,5317.0154114,No Failure
125,126,L47305,L,1560,32.2,120,0,0,0,0,0,0,298.89521289477483,299.05268748146125,5260.278296,No Failure
126,127,L47306,L,1329,60.5,122,0,0,0,0,0,0,298.99519996230174,299.05268748146125,8419.9324385,HDF
127,128,L47307,L,1413,46.5,124,0,0,0,0,0,0,298.89521289477483,299.05268748146125,6880.553338500001,No Failure
128,129,L47308,L,1587,38.6,126,0,0,0,0,0,0,298.99519996230174,299.05268748146125,6414.938284599999,No Failure
129,130,L47309,L,1559,34.3,128,0,0,0,0,0,0,298.89521289477483,298.98528996598424,5599.748039433332,No Failure
130,131,L47310,L,1473,41.1,130,0,0,0,0,0,0,298.7952258272479,298.9178924505072,6339.760035900001,No Failure
131,132,L47311,L,1737,27.7,132,0,0,0,0,0,0,298.7952258272479,298.9178924505072,5038.5762897,No Failure
132,133,M14992,M,1441,43.2,135,0,0,0,0,0,0,298.695238759721,298.9178924505072,6518.9249136,No Failure
133,134,M14993,M,1430,49.6,138,0,0,0,0,0,0,298.695238759721,298.9178924505072,7427.556517333333,No Failure
134,135,L47314,L,1369,53.0,140,0,0,0,0,0,0,298.7952258272479,298.9178924505072,7598.144854333333,HDF
135,136,M14995,M,1711,28.5,143,0,0,0,0,0,0,298.7952258272479,298.98528996598424,5106.4974655,No Failure
136,137,H29550,H,1420,45.7,148,0,0,0,0,0,0,298.695238759721,298.98528996598424,6795.678048666667,No Failure
137,138,L47317,L,1297,55.3,150,0,0,0,0,0,0,298.695238759721,299.05268748146125,7510.923843966666,HDF
138,139,H29552,H,1449,49.4,155,0,0,0,0,0,0,298.7952258272479,299.05268748146125,7495.8965718,No Failure
139,140,L47319,L,1268,55.8,157,0,0,0,0,0,0,298.7952258272479,299.05268748146125,7409.377183199999,HDF
140,141,L47320,L,1511,36.1,159,0,0,0,0,0,0,298.7952258272479,299.05268748146125,5712.1541296333335,No Failure
141,142,L47321,L,1544,35.2,161,0,0,0,0,0,0,298.695238759721,298.98528996598424,5691.388219733333,No Failure
142,143,M15002,M,1778,28.2,164,0,0,0,0,0,0,298.5952516921941,298.9178924505072,5250.602198799999,No Failure
143,144,H29557,H,1407,50.5,169,0,0,0,0,0,0,298.5952516921941,298.9178924505072,7440.6988355,No Failure
144,145,M15004,M,1391,42.4,172,0,0,0,0,0,0,298.5952516921941,298.9178924505072,6176.198388533333,No Failure
145,146,L47325,L,1513,33.6,174,0,0,0,0,0,0,298.4952646246672,298.9178924505072,5323.612750400001,No Failure
146,147,H29560,H,1612,36.1,179,0,0,0,0,0,0,298.4952646246672,298.9178924505072,6093.972506266668,No Failure
147,148,L47327,L,1515,40.1,181,0,0,0,0,0,0,298.3952775571402,298.9178924505072,6361.8768295,No Failure
148,149,M15008,M,1379,48.0,184,0,0,0,0,0,0,298.29529048961336,298.8504949350302,6931.604175999999,HDF
149,150,L47329,L,1473,39.9,186,0,0,0,0,0,0,298.3952775571402,298.8504949350302,6154.6575531,No Failure
150,151,L47330,L,1422,42.7,188,0,0,0,0,0,0,298.3952775571402,298.8504949350302,6358.5153282,No Failure
151,152,M15011,M,1463,37.6,191,0,0,0,0,0,0,298.3952775571402,298.7830974195532,5760.5031997333335,No Failure
152,153,M15012,M,1584,41.0,194,0,0,0,0,0,0,298.3952775571402,298.7830974195532,6800.914032,No Failure
153,154,L47333,L,1850,27.0,196,0,0,0,0,0,0,298.3952775571402,298.7830974195532,5230.74735,No Failure
154,155,L47334,L,1528,36.2,198,0,0,0,0,0,0,298.3952775571402,298.7830974195532,5792.421754133334,No Failure
155,156,H29569,H,1987,19.8,203,0,0,0,0,0,0,298.3952775571402,298.7830974195532,4119.9439578,TWF
156,157,M15016,M,1495,46.0,206,0,0,0,0,0,0,298.3952775571402,298.7156999040762,7201.571476666667,TWF
157,158,H29571,H,1478,43.5,211,0,0,0,0,0,0,298.3952775571402,298.7830974195532,6732.741529,TWF
158,159,M15018,M,1499,40.0,214,0,0,0,0,0,0,298.3952775571402,298.7830974195532,6278.991213333334,TWF
159,160,L47339,L,1471,47.0,216,0,0,0,0,0,0,298.3952775571402,298.7830974195532,7240.003594333332,TWF
160,161,L47340,L,1282,60.7,218,1,0,0,0,1,0,298.3952775571402,298.7830974195532,8149.012188866666,"TWF, HDF, OSF"
161,162,L47341,L,1412,52.3,220,1,0,0,0,1,0,298.29529048961336,298.7156999040762,7733.296056133333,"TWF, OSF"
162,163,L47342,L,1586,35.5,2,0,0,0,0,0,0,298.29529048961336,298.7156999040762,5896.031392333334,No Failure
163,164,M15023,M,1468,43.8,5,0,0,0,0,0,0,298.3952775571402,298.7830974195532,6733.307015199999,No Failure
164,165,M15024,M,1440,43.6,8,0,0,0,0,0,0,298.4952646246672,298.8504949350302,6574.719552,No Failure
165,166,L47345,L,1733,26.0,10,0,0,0,0,0,0,298.4952646246672,298.9178924505072,4718.458740666667,No Failure
166,167,H29580,H,1612,32.6,15,0,0,0,0,0,0,298.3952775571402,298.7830974195532,5503.144146933334,No Failure
167,168,H29581,H,1458,42.9,20,0,0,0,0,0,0,298.3952775571402,298.8504949350302,6550.0266546,No Failure
168,169,L47348,L,1433,62.3,22,1,0,0,1,0,0,298.3952775571402,298.8504949350302,9348.942489366667,PWF
169,170,L47349,L,1318,59.1,24,0,0,0,0,0,0,298.3952775571402,298.8504949350302,8157.012771399999,HDF
170,171,M15030,M,1610,35.0,27,0,0,0,0,0,0,298.3952775571402,298.7830974195532,5900.953216666666,No Failure
171,172,L47351,L,1462,50.8,29,0,0,0,0,0,0,298.1953034220864,298.7156999040762,7777.487755466666,No Failure
172,173,M15032,M,1924,20.8,32,0,0,0,0,0,0,298.0953163545595,298.6483023885992,4190.797284266666,No Failure
173,174,M15033,M,1591,33.7,35,0,0,0,0,0,0,298.1953034220864,298.6483023885992,5614.722951766667,No Failure
174,175,L47354,L,1306,58.3,37,0,0,0,0,0,0,298.1953034220864,298.7156999040762,7973.334476066667,HDF
175,176,L47355,L,1382,43.5,39,0,0,0,0,0,0,298.1953034220864,298.7156999040762,6295.432201,No Failure
176,177,L47356,L,1618,34.7,41,0,0,0,0,0,0,298.1953034220864,298.7156999040762,5879.443797133333,No Failure
177,178,L47357,L,1988,21.4,43,0,0,0,0,0,0,298.1953034220864,298.7830974195532,4455.109722933333,No Failure
178,179,L47358,L,1436,50.2,45,0,0,0,0,0,0,298.1953034220864,298.7830974195532,7548.947554933334,No Failure
179,180,L47359,L,1304,49.8,47,0,0,0,0,0,0,298.1953034220864,298.8504949350302,6800.411377599999,HDF
180,181,L47360,L,1475,49.9,49,0,0,0,0,0,0,298.1953034220864,298.8504949350302,7707.629265833332,No Failure
181,182,H29595,H,1824,24.2,54,0,0,0,0,0,0,298.1953034220864,298.8504949350302,4622.4098624,No Failure
182,183,M15042,M,1342,48.1,57,0,0,0,0,0,0,298.0953163545595,298.7830974195532,6759.675427266667,HDF
183,184,L47363,L,1485,40.7,59,0,0,0,0,0,0,298.0953163545595,298.7830974195532,6329.204293500001,No Failure
184,185,L47364,L,1667,30.6,61,0,0,0,0,0,0,298.1953034220864,298.7830974195532,5341.771140600001,No Failure
185,186,L47365,L,1446,38.2,63,0,0,0,0,0,0,298.1953034220864,298.7830974195532,5784.4211716,No Failure
186,187,L47366,L,1301,56.0,65,0,0,0,0,0,0,298.0953163545595,298.8504949350302,7629.456034666667,HDF
187,188,L47367,L,1379,43.1,67,0,0,0,0,0,0,298.1953034220864,298.9178924505072,6224.002916366666,HDF
188,189,L47368,L,1606,33.6,69,0,0,0,0,0,0,298.29529048961336,298.98528996598424,5650.8407648,No Failure
189,190,M15049,M,1539,43.4,72,0,0,0,0,0,0,298.29529048961336,298.9178924505072,6994.4988078,No Failure
190,191,L47370,L,1477,49.9,74,0,0,0,0,0,0,298.1953034220864,298.9178924505072,7718.080288566665,No Failure
191,192,L47371,L,1666,34.6,76,0,0,0,0,0,0,298.1953034220864,298.9178924505072,6036.418577466667,No Failure
192,193,H29606,H,1398,51.8,81,0,0,0,0,0,0,298.1953034220864,298.9178924505072,7583.4212692,No Failure
193,194,H29607,H,1678,34.6,86,0,0,0,0,0,0,298.1953034220864,298.9178924505072,6079.898183066667,No Failure
195,196,L47375,L,1453,42.9,91,0,0,0,0,0,0,298.29529048961336,298.98528996598424,6527.564286100001,No Failure
196,197,H29610,H,1432,49.5,96,0,0,0,0,0,0,298.29529048961336,299.05268748146125,7422.948851999999,No Failure
197,198,M15057,M,1527,40.9,99,0,0,0,0,0,0,298.3952775571402,299.05268748146125,6540.193477899999,No Failure
198,199,L47378,L,1588,35.0,101,0,0,0,0,0,0,298.3952775571402,299.12008499693826,5820.319073333333,No Failure
199,200,L47379,L,1433,47.1,103,0,0,0,0,0,0,298.3952775571402,299.05268748146125,7067.980597900001,No Failure
200,201,L47380,L,1609,35.0,105,0,0,0,0,0,0,298.3952775571402,299.05268748146125,5897.288028333333,No Failure
201,202,L47381,L,1575,41.2,107,0,0,0,0,0,0,298.29529048961336,298.98528996598424,6795.25917,No Failure
202,203,M15062,M,1636,35.7,110,0,0,0,0,0,0,298.3952775571402,298.98528996598424,6116.1730756,No Failure
203,204,L47383,L,1490,37.9,112,0,0,0,0,0,0,298.3952775571402,298.98528996598424,5913.624296333333,No Failure
204,205,L47384,L,1741,32.8,114,0,0,0,0,0,0,298.3952775571402,298.98528996598424,5979.995621066666,No Failure
205,206,M15065,M,1344,53.0,117,0,0,0,0,0,0,298.4952646246672,299.05268748146125,7459.391295999999,HDF
206,207,L47386,L,1609,35.3,119,0,0,0,0,0,0,298.4952646246672,299.12008499693826,5947.836211433333,No Failure
207,208,M15067,M,1421,60.7,122,1,0,0,1,0,0,298.3952775571402,299.12008499693826,9032.563432433331,PWF
208,209,L47388,L,1591,36.7,124,0,0,0,0,0,0,298.3952775571402,299.05268748146125,6114.549920766667,No Failure
209,210,L47389,L,1477,44.0,126,0,0,0,0,0,0,298.3952775571402,299.05268748146125,6805.521697333333,No Failure
210,211,L47390,L,1523,36.1,128,0,0,0,0,0,0,298.3952775571402,299.12008499693826,5757.518689233333,No Failure
211,212,L47391,L,1575,33.9,130,0,0,0,0,0,0,298.4952646246672,299.12008499693826,5591.244802499999,No Failure
212,213,H29626,H,1344,52.9,135,0,0,0,0,0,0,298.3952775571402,299.12008499693826,7445.316972799998,HDF
213,214,L47393,L,1386,44.9,137,0,0,0,0,0,0,298.3952775571402,299.12008499693826,6516.8514642,No Failure
214,215,M15074,M,1589,37.1,140,0,0,0,0,0,0,298.29529048961336,299.05268748146125,6173.423317366667,No Failure
215,216,L47395,L,1548,40.3,142,0,0,0,0,0,0,298.29529048961336,299.05268748146125,6532.8735732,No Failure
216,217,L47396,L,1499,38.3,144,0,0,0,0,0,0,298.29529048961336,299.05268748146125,6012.134086766667,No Failure
217,218,L47397,L,1664,31.6,146,0,0,0,0,0,0,298.29529048961336,298.98528996598424,5506.411400533333,No Failure
218,219,L47398,L,1447,38.1,148,0,0,0,0,0,0,298.29529048961336,299.05268748146125,5773.2685271,No Failure
219,220,M15079,M,1434,46.2,151,0,0,0,0,0,0,298.29529048961336,298.98528996598424,6937.7616924,No Failure
220,221,L47400,L,1416,52.7,153,0,0,0,0,0,0,298.29529048961336,298.98528996598424,7814.5166296,No Failure
221,222,H29635,H,1827,24.3,158,0,0,0,0,0,0,298.3952775571402,298.98528996598424,4649.1447933,No Failure
222,223,L47402,L,1304,45.0,160,0,0,0,0,0,0,298.3952775571402,299.05268748146125,6144.95004,HDF
223,224,L47403,L,1569,34.4,162,0,0,0,0,0,0,298.3952775571402,299.05268748146125,5652.097400799999,No Failure
224,225,L47404,L,1584,29.3,164,0,0,0,0,0,0,298.29529048961336,299.05268748146125,4860.165393599999,No Failure
225,226,L47405,L,1362,53.8,166,0,0,0,0,0,0,298.29529048961336,298.98528996598424,7673.3964068,HDF
226,227,L47406,L,1329,49.2,168,0,0,0,0,0,0,298.29529048961336,298.9178924505072,6847.283900400001,HDF
227,228,L47407,L,1539,36.1,170,0,0,0,0,0,0,298.29529048961336,298.98528996598424,5818.004768700001,No Failure
228,229,M15088,M,1629,37.1,173,0,0,0,0,0,0,298.29529048961336,298.98528996598424,6328.8273027000005,No Failure
229,230,L47409,L,1538,32.2,175,0,0,0,0,0,0,298.29529048961336,298.98528996598424,5186.094884133333,No Failure
230,231,L47410,L,1570,34.8,177,0,0,0,0,0,0,298.29529048961336,299.05268748146125,5721.463707999999,No Failure
231,232,L47411,L,1408,43.1,179,0,0,0,0,0,0,298.29529048961336,298.9178924505072,6354.892027733334,No Failure
232,233,L47412,L,1424,47.6,181,0,0,0,0,0,0,298.1953034220864,298.9178924505072,7098.150333866666,No Failure
