,Unnamed: 0,UDI,Product Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Normalized_air_temp,Normalized_process_temp,Power [W],Machine failure Labelled
121,122,123,L,1310,50.7,114,298.99519996230174,299.1874825124153,6955.166101,HDF
122,123,124,L,1546,43.4,116,298.89521289477483,299.12008499693826,7026.312642533333,No Failure
123,124,125,L,1727,29.4,118,298.89521289477483,299.12008499693826,5317.0154114,No Failure
124,125,126,L,1560,32.2,120,298.89521289477483,299.05268748146125,5260.278296,No Failure
125,126,127,L,1329,60.5,122,298.99519996230174,299.05268748146125,8419.9324385,HDF
126,127,128,L,1413,46.5,124,298.89521289477483,299.05268748146125,6880.553338500001,No Failure
127,128,129,L,1587,38.6,126,298.99519996230174,299.05268748146125,6414.938284599999,No Failure
128,129,130,L,1559,34.3,128,298.89521289477483,298.98528996598424,5599.748039433332,No Failure
129,130,131,L,1473,41.1,130,298.7952258272479,298.9178924505072,6339.760035900001,No Failure
130,131,132,L,1737,27.7,132,298.7952258272479,298.9178924505072,5038.5762897,No Failure
131,132,133,M,1441,43.2,135,298.695238759721,298.9178924505072,6518.9249136,No Failure
132,133,134,M,1430,49.6,138,298.695238759721,298.9178924505072,7427.556517333333,No Failure
133,134,135,L,1369,53.0,140,298.7952258272479,298.9178924505072,7598.144854333333,HDF
134,135,136,M,1711,28.5,143,298.7952258272479,298.98528996598424,5106.4974655,No Failure
135,136,137,H,1420,45.7,148,298.695238759721,298.98528996598424,6795.678048666667,No Failure
136,137,138,L,1297,55.3,150,298.695238759721,299.05268748146125,7510.923843966666,HDF
137,138,139,H,1449,49.4,155,298.7952258272479,299.05268748146125,7495.8965718,No Failure
138,139,140,L,1268,55.8,157,298.7952258272479,299.05268748146125,7409.377183199999,HDF
139,140,141,L,1511,36.1,159,298.7952258272479,299.05268748146125,5712.1541296333335,No Failure
140,141,142,L,1544,35.2,161,298.695238759721,298.98528996598424,5691.388219733333,No Failure
141,142,143,M,1778,28.2,164,298.5952516921941,298.9178924505072,5250.602198799999,No Failure
142,143,144,H,1407,50.5,169,298.5952516921941,298.9178924505072,7440.6988355,No Failure
143,144,145,M,1391,42.4,172,298.5952516921941,298.9178924505072,6176.198388533333,No Failure
144,145,146,L,1513,33.6,174,298.4952646246672,298.9178924505072,5323.612750400001,No Failure
145,146,147,H,1612,36.1,179,298.4952646246672,298.9178924505072,6093.972506266668,No Failure
146,147,148,L,1515,40.1,181,298.3952775571402,298.9178924505072,6361.8768295,No Failure
147,148,149,M,1379,48.0,184,298.29529048961336,298.8504949350302,6931.604175999999,HDF
148,149,150,L,1473,39.9,186,298.3952775571402,298.8504949350302,6154.6575531,No Failure
149,150,151,L,1422,42.7,188,298.3952775571402,298.8504949350302,6358.5153282,No Failure
150,151,152,M,1463,37.6,191,298.3952775571402,298.7830974195532,5760.5031997333335,No Failure
151,152,153,M,1584,41.0,194,298.3952775571402,298.7830974195532,6800.914032,No Failure
152,153,154,L,1850,27.0,196,298.3952775571402,298.7830974195532,5230.74735,No Failure
153,154,155,L,1528,36.2,198,298.3952775571402,298.7830974195532,5792.421754133334,No Failure
154,155,156,H,1987,19.8,203,298.3952775571402,298.7830974195532,4119.9439578,TWF
155,156,157,M,1495,46.0,206,298.3952775571402,298.7156999040762,7201.571476666667,TWF
156,157,158,H,1478,43.5,211,298.3952775571402,298.7830974195532,6732.741529,TWF
157,158,159,M,1499,40.0,214,298.3952775571402,298.7830974195532,6278.991213333334,TWF
158,159,160,L,1471,47.0,216,298.3952775571402,298.7830974195532,7240.003594333332,TWF
159,160,161,L,1282,60.7,218,298.3952775571402,298.7830974195532,8149.012188866666,"TWF, HDF, OSF"
160,161,162,L,1412,52.3,220,298.29529048961336,298.7156999040762,7733.296056133333,"TWF, OSF"
161,162,163,L,1586,35.5,2,298.29529048961336,298.7156999040762,5896.031392333334,No Failure
162,163,164,M,1468,43.8,5,298.3952775571402,298.7830974195532,6733.307015199999,No Failure
163,164,165,M,1440,43.6,8,298.4952646246672,298.8504949350302,6574.719552,No Failure
164,165,166,L,1733,26.0,10,298.4952646246672,298.9178924505072,4718.458740666667,No Failure
165,166,167,H,1612,32.6,15,298.3952775571402,298.7830974195532,5503.144146933334,No Failure
166,167,168,H,1458,42.9,20,298.3952775571402,298.8504949350302,6550.0266546,No Failure
167,168,169,L,1433,62.3,22,298.3952775571402,298.8504949350302,9348.942489366667,PWF
168,169,170,L,1318,59.1,24,298.3952775571402,298.8504949350302,8157.012771399999,HDF
169,170,171,M,1610,35.0,27,298.3952775571402,298.7830974195532,5900.953216666666,No Failure
170,171,172,L,1462,50.8,29,298.1953034220864,298.7156999040762,7777.487755466666,No Failure
171,172,173,M,1924,20.8,32,298.0953163545595,298.6483023885992,4190.797284266666,No Failure
172,173,174,M,1591,33.7,35,298.1953034220864,298.6483023885992,5614.722951766667,No Failure
173,174,175,L,1306,58.3,37,298.1953034220864,298.7156999040762,7973.334476066667,HDF
174,175,176,L,1382,43.5,39,298.1953034220864,298.7156999040762,6295.432201,No Failure
175,176,177,L,1618,34.7,41,298.1953034220864,298.7156999040762,5879.443797133333,No Failure
176,177,178,L,1988,21.4,43,298.1953034220864,298.7830974195532,4455.109722933333,No Failure
177,178,179,L,1436,50.2,45,298.1953034220864,298.7830974195532,7548.947554933334,No Failure
178,179,180,L,1304,49.8,47,298.1953034220864,298.8504949350302,6800.411377599999,HDF
179,180,181,L,1475,49.9,49,298.1953034220864,298.8504949350302,7707.629265833332,No Failure
180,181,182,H,1824,24.2,54,298.1953034220864,298.8504949350302,4622.4098624,No Failure
181,182,183,M,1342,48.1,57,298.0953163545595,298.7830974195532,6759.675427266667,HDF
182,183,184,L,1485,40.7,59,298.0953163545595,298.7830974195532,6329.204293500001,No Failure
183,184,185,L,1667,30.6,61,298.1953034220864,298.7830974195532,5341.771140600001,No Failure
184,185,186,L,1446,38.2,63,298.1953034220864,298.7830974195532,5784.4211716,No Failure
185,186,187,L,1301,56.0,65,298.0953163545595,298.8504949350302,7629.456034666667,HDF
186,187,188,L,1379,43.1,67,298.1953034220864,298.9178924505072,6224.002916366666,HDF
187,188,189,L,1606,33.6,69,298.29529048961336,298.98528996598424,5650.8407648,No Failure
188,189,190,M,1539,43.4,72,298.29529048961336,298.9178924505072,6994.4988078,No Failure
189,190,191,L,1477,49.9,74,298.1953034220864,298.9178924505072,7718.080288566665,No Failure
190,191,192,L,1666,34.6,76,298.1953034220864,298.9178924505072,6036.418577466667,No Failure
191,192,193,H,1398,51.8,81,298.1953034220864,298.9178924505072,7583.4212692,No Failure
192,193,194,H,1678,34.6,86,298.1953034220864,298.9178924505072,6079.898183066667,No Failure
193,195,196,L,1453,42.9,91,298.29529048961336,298.98528996598424,6527.564286100001,No Failure
194,196,197,H,1432,49.5,96,298.29529048961336,299.05268748146125,7422.948851999999,No Failure
195,197,198,M,1527,40.9,99,298.3952775571402,299.05268748146125,6540.193477899999,No Failure
196,198,199,L,1588,35.0,101,298.3952775571402,299.12008499693826,5820.319073333333,No Failure
197,199,200,L,1433,47.1,103,298.3952775571402,299.05268748146125,7067.980597900001,No Failure
198,200,201,L,1609,35.0,105,298.3952775571402,299.05268748146125,5897.288028333333,No Failure
199,201,202,L,1575,41.2,107,298.29529048961336,298.98528996598424,6795.25917,No Failure
200,202,203,M,1636,35.7,110,298.3952775571402,298.98528996598424,6116.1730756,No Failure
201,203,204,L,1490,37.9,112,298.3952775571402,298.98528996598424,5913.624296333333,No Failure
202,204,205,L,1741,32.8,114,298.3952775571402,298.98528996598424,5979.995621066666,No Failure
203,205,206,M,1344,53.0,117,298.4952646246672,299.05268748146125,7459.391295999999,HDF
204,206,207,L,1609,35.3,119,298.4952646246672,299.12008499693826,5947.836211433333,No Failure
205,207,208,M,1421,60.7,122,298.3952775571402,299.12008499693826,9032.563432433331,PWF
206,208,209,L,1591,36.7,124,298.3952775571402,299.05268748146125,6114.549920766667,No Failure
207,209,210,L,1477,44.0,126,298.3952775571402,299.05268748146125,6805.521697333333,No Failure
208,210,211,L,1523,36.1,128,298.3952775571402,299.12008499693826,5757.518689233333,No Failure
209,211,212,L,1575,33.9,130,298.4952646246672,299.12008499693826,5591.244802499999,No Failure
210,212,213,H,1344,52.9,135,298.3952775571402,299.12008499693826,7445.316972799998,HDF
211,213,214,L,1386,44.9,137,298.3952775571402,299.12008499693826,6516.8514642,No Failure
212,214,215,M,1589,37.1,140,298.29529048961336,299.05268748146125,6173.423317366667,No Failure
213,215,216,L,1548,40.3,142,298.29529048961336,299.05268748146125,6532.8735732,No Failure
214,216,217,L,1499,38.3,144,298.29529048961336,299.05268748146125,6012.134086766667,No Failure
215,217,218,L,1664,31.6,146,298.29529048961336,298.98528996598424,5506.411400533333,No Failure
216,218,219,L,1447,38.1,148,298.29529048961336,299.05268748146125,5773.2685271,No Failure
217,219,220,M,1434,46.2,151,298.29529048961336,298.98528996598424,6937.7616924,No Failure
218,220,221,L,1416,52.7,153,298.29529048961336,298.98528996598424,7814.5166296,No Failure
219,221,222,H,1827,24.3,158,298.3952775571402,298.98528996598424,4649.1447933,No Failure
220,222,223,L,1304,45.0,160,298.3952775571402,299.05268748146125,6144.95004,HDF
221,223,224,L,1569,34.4,162,298.3952775571402,299.05268748146125,5652.097400799999,No Failure
222,224,225,L,1584,29.3,164,298.29529048961336,299.05268748146125,4860.165393599999,No Failure
223,225,226,L,1362,53.8,166,298.29529048961336,298.98528996598424,7673.3964068,HDF
224,226,227,L,1329,49.2,168,298.29529048961336,298.9178924505072,6847.283900400001,HDF
225,227,228,L,1539,36.1,170,298.29529048961336,298.98528996598424,5818.004768700001,No Failure
226,228,229,M,1629,37.1,173,298.29529048961336,298.98528996598424,6328.8273027000005,No Failure
227,229,230,L,1538,32.2,175,298.29529048961336,298.98528996598424,5186.094884133333,No Failure
228,230,231,L,1570,34.8,177,298.29529048961336,299.05268748146125,5721.463707999999,No Failure
229,231,232,L,1408,43.1,179,298.29529048961336,298.9178924505072,6354.892027733334,No Failure
230,232,233,L,1424,47.6,181,298.1953034220864,298.9178924505072,7098.150333866666,No Failure
231,233,234,L,1512,34.9,183,298.1953034220864,298.9178924505072,5525.931146399999,No Failure
232,234,235,L,1478,42.9,185,298.1953034220864,298.9178924505072,6639.8761286,No Failure
233,235,236,M,1680,33.7,188,298.0953163545595,298.8504949350302,5928.808648,No Failure
234,236,237,L,1495,38.7,190,298.0953163545595,298.8504949350302,6058.7133945000005,No Failure
235,237,238,M,1552,36.6,193,297.9953292870326,298.7156999040762,5948.412169599999,No Failure
236,238,239,L,1393,50.3,195,297.8953422195056,298.7156999040762,7337.487132033332,No Failure
237,239,240,L,1611,30.6,197,297.9953292870326,298.7830974195532,5162.3235198,No Failure
238,240,241,M,1339,51.6,200,297.9953292870326,298.7156999040762,7235.333097199999,"TWF, HDF"
239,241,242,L,1777,24.3,202,297.9953292870326,298.7156999040762,4521.9103983,TWF
240,242,243,L,1348,58.8,204,297.9953292870326,298.7830974195532,8300.332107199998,"TWF, HDF, OSF"
241,243,244,L,1442,44.1,206,297.9953292870326,298.7830974195532,6659.353986599999,TWF
242,244,245,M,1395,49.1,209,297.9953292870326,298.7830974195532,7172.7212085,TWF
243,245,246,M,1627,31.4,212,297.8953422195056,298.7156999040762,5349.8973867333325,TWF
244,246,247,L,1585,33.5,214,297.8953422195056,298.7156999040762,5560.352500833334,TWF
245,247,248,L,1469,45.5,216,297.9953292870326,298.7830974195532,6999.410160166667,TWF
246,248,249,L,1362,56.8,218,297.9953292870326,298.8504949350302,8101.280964799999,"TWF, HDF, OSF"
247,249,250,L,1405,56.2,220,297.9953292870326,298.8504949350302,8268.769599666666,"TWF, OSF"
248,250,251,L,1662,32.7,2,297.9953292870326,298.8504949350302,5691.2416122,No Failure
249,251,252,M,1466,42.6,5,297.9953292870326,298.7830974195532,6539.9107348,No Failure
250,252,253,L,1620,35.8,7,297.9953292870326,298.7830974195532,6073.321787999999,No Failure
251,253,254,L,1357,48.2,9,297.9953292870326,298.7830974195532,6849.441125533334,HDF
252,254,255,L,1514,37.9,11,297.9953292870326,298.7830974195532,6008.877305133334,No Failure
253,255,256,L,1489,40.4,13,297.9953292870326,298.7830974195532,6299.474380133333,No Failure
254,256,257,L,1331,63.0,15,298.0953163545595,298.8504949350302,8781.058209,HDF
255,257,258,L,1615,29.5,17,297.9953292870326,298.6483023885992,4989.106719166667,No Failure
256,258,259,L,1482,37.9,19,298.0953163545595,298.7830974195532,5881.8732934,No Failure
257,259,260,M,1420,63.9,22,298.0953163545595,298.7830974195532,9502.053113999998,PWF
258,260,261,M,1522,49.1,25,298.1953034220864,298.8504949350302,7825.721633933334,No Failure
259,261,262,L,1654,32.1,27,298.0953163545595,298.7830974195532,5559.923150199999,No Failure
260,262,263,M,1736,26.8,30,298.0953163545595,298.7830974195532,4872.061547733333,No Failure
261,263,264,M,1587,32.3,33,297.9953292870326,298.7156999040762,5367.940585299999,No Failure
262,264,265,L,1390,47.5,35,298.0953163545595,298.7830974195532,6914.115991666666,No Failure
263,265,266,L,1454,37.1,37,297.9953292870326,298.7156999040762,5648.934866866667,No Failure
264,266,267,H,1440,43.7,42,297.9953292870326,298.7156999040762,6589.799184,No Failure
265,267,268,L,1954,21.1,44,297.8953422195056,298.6483023885992,4317.529024866666,No Failure
266,268,269,H,1800,24.8,49,297.8953422195056,298.6483023885992,4674.68592,No Failure
267,269,270,L,1524,37.0,51,297.9953292870326,298.6483023885992,5904.932564,No Failure
268,270,271,H,1520,39.6,56,297.9953292870326,298.6483023885992,6303.286176,No Failure
269,271,272,M,1452,40.8,59,298.0953163545595,298.7156999040762,6203.7606048,No Failure
270,272,273,L,1484,40.4,61,298.0953163545595,298.7156999040762,6278.321007466667,No Failure
271,273,274,L,1426,46.0,63,298.0953163545595,298.6483023885992,6869.191254666666,No Failure
272,274,275,L,1652,28.5,65,298.0953163545595,298.6483023885992,4930.411346,No Failure
273,275,276,L,1401,54.7,67,297.9953292870326,298.6483023885992,8025.160239100001,No Failure
274,276,277,M,1750,26.6,70,297.9953292870326,298.5809048731221,4874.700483333333,No Failure
275,277,278,H,1479,50.7,75,297.9953292870326,298.6483023885992,7852.435620900001,No Failure
276,278,279,M,1620,29.4,78,297.9953292870326,298.6483023885992,4987.588284,No Failure
277,279,280,L,1819,23.4,80,297.9953292870326,298.7156999040762,4457.350723799999,No Failure
278,280,281,M,1456,43.7,83,298.0953163545595,298.7156999040762,6663.0191749333335,No Failure
279,281,282,L,1626,36.5,85,298.0953163545595,298.6483023885992,6215.0074970000005,No Failure
280,282,283,M,1390,49.8,88,298.0953163545595,298.7156999040762,7248.904765999999,No Failure
281,283,284,L,1469,43.0,90,298.1953034220864,298.7830974195532,6614.827184333333,No Failure
282,284,285,L,2051,19.2,92,298.1953034220864,298.8504949350302,4123.776697599999,No Failure
283,285,286,L,1568,36.0,94,298.1953034220864,298.8504949350302,5911.215744,No Failure
284,286,287,L,1589,33.2,96,298.1953034220864,298.8504949350302,5524.465071066667,No Failure
285,287,288,L,1805,31.6,98,298.1953034220864,298.8504949350302,5973.000347333334,No Failure
286,288,289,H,1385,42.2,103,298.1953034220864,298.9178924505072,6120.550357666666,No Failure
287,289,290,L,1436,46.7,105,298.0953163545595,298.9178924505072,7022.626510266668,No Failure
288,290,291,L,1438,45.6,107,298.0953163545595,298.9178924505072,6866.761758400001,No Failure
289,291,292,L,1473,42.6,109,297.9953292870326,298.8504949350302,6571.138139400001,No Failure
290,292,293,L,1335,40.2,111,298.0953163545595,298.9178924505072,5619.990351,HDF
291,293,294,H,1392,44.8,116,298.0953163545595,298.98528996598424,6530.4859648,No Failure
292,294,295,M,1372,51.1,119,298.0953163545595,298.98528996598424,7341.8120542666675,HDF
293,295,296,M,1716,30.7,122,298.0953163545595,299.05268748146125,5516.7577036,No Failure
294,296,297,L,1395,46.2,124,297.9953292870326,298.98528996598424,6749.077797,No Failure
295,297,298,L,1713,25.3,126,297.9953292870326,298.98528996598424,4538.4351617,No Failure
296,299,300,M,1567,35.6,134,297.79535515197875,298.8504949350302,5841.807548933332,No Failure
297,300,301,L,1622,38.3,136,297.79535515197875,298.9178924505072,6505.457964466666,No Failure
298,301,302,L,1740,27.1,138,297.6953680844518,298.9178924505072,4937.951161999999,No Failure
299,302,303,H,1512,35.1,143,297.79535515197875,298.9178924505072,5557.5983736,No Failure
300,303,304,M,1479,43.5,146,297.79535515197875,298.9178924505072,6737.296834500001,No Failure
301,304,305,L,1737,27.5,148,297.79535515197875,298.9178924505072,5002.196677499999,No Failure
302,306,307,L,1374,47.1,152,297.79535515197875,298.9178924505072,6776.975116199999,HDF
